id	filename	md5	size	state
5fb6b961-39e8-4f05-9bad-ff0acbfd8328	TCGA-BH-A0H0-01Z-00-DX1.B3B394DD-1F4E-42CA-BB51-C002E423B3D0.svs	23c711f0665388f81a1dc0ca06026805	989790419	released
e2bf3d1f-c5cd-4551-bf2d-0a4fe79ae2da	TCGA-BH-A18T-01Z-00-DX1.90123A74-F631-4538-AB2E-4076486ADF88.svs	e41c4cb796e1d4627d1aac47b6deac4e	2416673463	released
7b8b69cd-5e94-46f6-9732-39ea204d680b	TCGA-E2-A14S-01Z-00-DX1.5C332E99-7296-473A-9917-7EFC38A8251D.svs	fcead6d73c28022353fc4c0e3f5d8b47	778072437	released
a51a959b-d70b-4f51-a360-99f7ca48efaa	TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8.svs	f5f73f6beeee6e092ca81797e30a2631	1332157657	released
c411216f-e0d1-4970-b036-d4c3c560da89	TCGA-BH-A0BQ-01Z-00-DX1.F5C6386B-BB2C-49DF-B3B8-6C4B80D060D4.svs	3a86b13286527e1146605598227cfe9f	1442492109	released
558682bd-f54d-42ab-908a-1ad15b2d51e9	TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B.svs	531e193a7ca5eee5b45562477bdaefac	2486684189	released
3d5cad1f-cebd-4581-83a2-fb0448bd8607	TCGA-D8-A1XC-01Z-00-DX2.10BA8536-D6AF-460E-9796-EB77FFE3EF5B.svs	c3330b3a135f3291270b98708ee6add4	1401669223	released
d42eb4ce-d300-46be-8b46-059a98c2ddb8	TCGA-C8-A131-01Z-00-DX1.5CB27A29-9951-40B9-B4DB-26A4D2EA89B8.svs	336ef0db4e60e4dfd4135c9420186e5e	870167195	released
63b2184b-03f7-457c-968a-2243c41e74cd	TCGA-EW-A1P8-01Z-00-DX1.E9852193-8CDD-49EF-B49B-DA6931198F0D.svs	fdc44bdb5b51ced716cd8473f5d8618b	2166971957	released
93b26333-5723-4fa4-a4de-6124c04ab243	TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53.svs	3d63b3311612d763525b6edb0848b986	1769848096	released
